1	a	Гарри_Поттер
1	a	Хоббит_Нежданное_путешествие
1	a	Хоббит_Пустошь_Смауга
0.01	a	Хроники_Нарнии_Принц_Каспиан
0.01	a	Сердце_дракона
0.01	a	Аниме
1	b	Гарри_Поттер
1	b	Хоббит_Нежданное_путешествие
1	b	Хоббит_Пустошь_Смауга
0.01	b	Хроники_Нарнии_Принц_Каспиан
0.01	b	Сердце_дракона
0.01	b	Аниме
1	c	Гарри_Поттер
0.01	c	Хоббит_Нежданное_путешествие
0.01	c	Хоббит_Пустошь_Смауга
1	c	Хроники_Нарнии_Принц_Каспиан
0.01	c	Сердце_дракона
0.01	c	Аниме
1	d	Гарри_Поттер
0.01	d	Хоббит_Нежданное_путешествие
1	d	Хоббит_Пустошь_Смауга
0.01	d	Хроники_Нарнии_Принц_Каспиан
0.01	d	Сердце_дракона
0.01	d	Аниме
1	e	Гарри_Поттер
1	e	Хоббит_Нежданное_путешествие
0.01	e	Хоббит_Пустошь_Смауга
0.01	e	Хроники_Нарнии_Принц_Каспиан
1	e	Сердце_дракона
0.01	e	Аниме
0.01	f	Гарри_Поттер
0.01	f	Хоббит_Нежданное_путешествие
0.01	f	Хоббит_Пустошь_Смауга
0.01	f	Хроники_Нарнии_Принц_Каспиан
0.01	f	Сердце_дракона
1	f	Аниме
